"","season","game_date","game_id","action_type","combined_shot_type","loc_x","loc_y","shot_distance","three_pt","time_remaining","ot","home","playoffs","opponent","shot_made_flag"
"28",2000,"2000-11-01","20000019","Jump Shot","Jump Shot",-183,186,26,"1",750,"0","1","0","UTA","0"
"29",2000,"2000-11-01","20000019","Jump Shot","Jump Shot",85,173,19,"0",499,"0","1","0","UTA","0"
"30",2000,"2000-11-01","20000019","Jump Shot","Jump Shot",3,87,8,"0",382,"0","1","0","UTA","0"
"31",2000,"2000-11-01","20000019","Running Jump Shot","Jump Shot",121,4,12,"0",80,"0","1","0","UTA","1"
"32",2000,"2000-11-01","20000019","Jump Shot","Jump Shot",127,34,13,"0",30,"0","1","0","UTA","0"
"33",2000,"2000-11-04","20000047","Jump Shot","Jump Shot",163,76,17,"0",2846,"0","0","0","VAN",NA
"34",2000,"2000-11-04","20000047","Jump Shot","Jump Shot",70,194,20,"0",2818,"0","0","0","VAN",NA
"35",2000,"2000-11-04","20000047","Layup Shot","Layup",1,19,1,"0",2613,"0","0","0","VAN",NA
"36",2000,"2000-11-04","20000047","Layup Shot","Layup",-12,15,1,"0",2518,"0","0","0","VAN",NA
"37",2000,"2000-11-04","20000047","Reverse Layup Shot","Layup",1,4,0,"0",2409,"0","0","0","VAN",NA
"38",2000,"2000-11-04","20000047","Jump Shot","Jump Shot",-117,116,16,"0",1773,"0","0","0","VAN",NA
"39",2000,"2000-11-04","20000047","Jump Shot","Jump Shot",91,184,20,"0",1650,"0","0","0","VAN","1"
"40",2000,"2000-11-04","20000047","Jump Shot","Jump Shot",-27,272,27,"1",1444,"0","0","0","VAN","1"
"41",2000,"2000-11-04","20000047","Jump Shot","Jump Shot",-176,66,18,"0",1392,"0","0","0","VAN","0"
"42",2000,"2000-11-04","20000047","Layup Shot","Layup",7,4,0,"0",1333,"0","0","0","VAN","1"
"43",2000,"2000-11-04","20000047","Jump Shot","Jump Shot",150,133,20,"0",1259,"0","0","0","VAN","1"
"44",2000,"2000-11-04","20000047","Jump Shot","Jump Shot",49,15,5,"0",1229,"0","0","0","VAN","0"
"45",2000,"2000-11-04","20000047","Layup Shot","Layup",-12,19,2,"0",989,"0","0","0","VAN",NA
"46",2000,"2000-11-04","20000047","Layup Shot","Layup",-4,4,0,"0",921,"0","0","0","VAN","1"
"47",2000,"2000-11-04","20000047","Reverse Dunk Shot","Dunk",-4,4,0,"0",895,"0","0","0","VAN","0"
"48",2000,"2000-11-04","20000047","Slam Dunk Shot","Dunk",1,9,0,"0",878,"0","0","0","VAN","1"
"49",2000,"2000-11-04","20000047","Jump Shot","Jump Shot",121,120,17,"0",295,"0","0","0","VAN","1"
"50",2000,"2000-11-04","20000047","Jump Shot","Jump Shot",-176,30,17,"0",199,"0","0","0","VAN",NA
"51",2000,"2000-11-04","20000047","Layup Shot","Layup",1,9,0,"0",68,"0","0","0","VAN","0"
"52",2000,"2000-11-04","20000047","Layup Shot","Layup",-12,9,1,"0",66,"0","0","0","VAN","0"
"53",2000,"2000-11-05","20000049","Jump Shot","Jump Shot",24,70,7,"0",2793,"0","1","0","LAC","0"
"54",2000,"2000-11-05","20000049","Jump Shot","Jump Shot",-189,-4,18,"0",2764,"0","1","0","LAC","0"
"55",2000,"2000-11-05","20000049","Jump Shot","Jump Shot",-141,247,28,"1",2458,"0","1","0","LAC",NA
"56",2000,"2000-11-05","20000049","Jump Shot","Jump Shot",-155,194,24,"1",2313,"0","1","0","LAC","0"
"57",2000,"2000-11-05","20000049","Jump Shot","Jump Shot",1,228,22,"1",2126,"0","1","0","LAC","1"
"58",2000,"2000-11-05","20000049","Driving Layup Shot","Layup",0,0,0,"0",1960,"0","1","0","LAC","1"
"59",2000,"2000-11-05","20000049","Slam Dunk Shot","Dunk",0,0,0,"0",1685,"0","1","0","LAC","1"
"60",2000,"2000-11-05","20000049","Jump Shot","Jump Shot",146,241,28,"1",1630,"0","1","0","LAC",NA
"61",2000,"2000-11-05","20000049","Jump Shot","Jump Shot",-33,108,11,"0",1562,"0","1","0","LAC","0"
"62",2000,"2000-11-05","20000049","Layup Shot","Layup",22,49,5,"0",1487,"0","1","0","LAC","1"
"63",2000,"2000-11-05","20000049","Driving Layup Shot","Layup",0,0,0,"0",1292,"0","1","0","LAC","0"
"64",2000,"2000-11-05","20000049","Driving Layup Shot","Layup",56,21,5,"0",757,"0","1","0","LAC","0"
"65",2000,"2000-11-05","20000049","Running Jump Shot","Jump Shot",121,26,12,"0",721,"0","1","0","LAC","1"
"66",2000,"2000-11-05","20000049","Jump Shot","Jump Shot",-10,91,9,"0",613,"0","1","0","LAC",NA
"67",2000,"2000-11-07","20000058","Jump Shot","Jump Shot",-119,36,12,"0",2706,"0","0","0","HOU",NA
"68",2000,"2000-11-07","20000058","Jump Shot","Jump Shot",231,57,23,"1",2657,"0","0","0","HOU","0"
"69",2000,"2000-11-07","20000058","Driving Layup Shot","Layup",0,0,0,"0",2633,"0","0","0","HOU","1"
"70",2000,"2000-11-07","20000058","Driving Dunk Shot","Dunk",0,0,0,"0",2581,"0","0","0","HOU","1"
"71",2000,"2000-11-07","20000058","Jump Shot","Jump Shot",159,110,19,"0",2475,"0","0","0","HOU",NA
"72",2000,"2000-11-07","20000058","Jump Shot","Jump Shot",7,257,25,"1",2351,"0","0","0","HOU","1"
"73",2000,"2000-11-07","20000058","Driving Layup Shot","Layup",0,0,0,"0",1916,"0","0","0","HOU","1"
"74",2000,"2000-11-07","20000058","Jump Shot","Jump Shot",51,57,7,"0",1600,"0","0","0","HOU","0"
"75",2000,"2000-11-07","20000058","Jump Shot","Jump Shot",167,190,25,"1",1450,"0","0","0","HOU","0"
"76",2000,"2000-11-07","20000058","Jump Shot","Jump Shot",-119,190,22,"0",1382,"0","0","0","HOU","1"
"77",2000,"2000-11-07","20000058","Jump Shot","Jump Shot",16,57,5,"0",1270,"0","0","0","HOU","0"
"78",2000,"2000-11-07","20000058","Jump Shot","Jump Shot",-84,110,13,"0",1164,"0","0","0","HOU","0"
"79",2000,"2000-11-07","20000058","Jump Shot","Jump Shot",-71,42,8,"0",721,"0","0","0","HOU","0"
"80",2000,"2000-11-07","20000058","Jump Shot","Jump Shot",58,47,7,"0",709,"0","0","0","HOU",NA
"81",2000,"2000-11-07","20000058","Jump Shot","Jump Shot",30,133,13,"0",301,"0","0","0","HOU","1"
"82",2000,"2000-11-07","20000058","Jump Shot","Jump Shot",1,156,15,"0",46,"0","0","0","HOU","0"
"83",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",132,211,24,"1",2861,"0","0","0","SAS","0"
"84",2000,"2000-11-08","20000068","Slam Dunk Shot","Dunk",-8,4,0,"0",2819,"0","0","0","SAS","0"
"85",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",-29,70,7,"0",2748,"0","0","0","SAS",NA
"86",2000,"2000-11-08","20000068","Turnaround Jump Shot","Jump Shot",-124,49,13,"0",2606,"0","0","0","SAS",NA
"87",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",132,127,18,"0",2556,"0","0","0","SAS","1"
"88",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",-29,188,19,"0",2514,"0","0","0","SAS","1"
"89",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",140,76,15,"0",2304,"0","0","0","SAS","1"
"90",2000,"2000-11-08","20000068","Turnaround Jump Shot","Jump Shot",140,0,14,"0",2268,"0","0","0","SAS","1"
"91",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",-1,156,15,"0",2245,"0","0","0","SAS","1"
"92",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",-151,4,15,"0",2207,"0","0","0","SAS","1"
"93",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",110,76,13,"0",2097,"0","0","0","SAS","0"
"94",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",132,87,15,"0",2017,"0","0","0","SAS","0"
"95",2000,"2000-11-08","20000068","Turnaround Jump Shot","Jump Shot",132,4,13,"0",1705,"0","0","0","SAS",NA
"96",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",-58,251,25,"1",1670,"0","0","0","SAS","1"
"97",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",-94,160,18,"0",1635,"0","0","0","SAS","1"
"98",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",-193,150,24,"1",1493,"0","0","0","SAS","0"
"99",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",140,0,14,"0",1488,"0","0","0","SAS","1"
"100",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",39,9,4,"0",1406,"0","0","0","SAS","0"
"101",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",24,150,15,"0",1280,"0","0","0","SAS","0"
"102",2000,"2000-11-08","20000068","Slam Dunk Shot","Dunk",-1,0,0,"0",1193,"0","0","0","SAS","1"
"103",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",119,133,17,"0",1120,"0","0","0","SAS","1"
"104",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",-101,137,17,"0",976,"0","0","0","SAS",NA
"105",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",119,19,12,"0",900,"0","0","0","SAS","0"
"106",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",-193,42,19,"0",768,"0","0","0","SAS","0"
"107",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",-166,55,17,"0",741,"0","0","0","SAS","0"
"108",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",24,116,11,"0",639,"0","0","0","SAS","0"
"109",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",-65,156,16,"0",428,"0","0","0","SAS","0"
"110",2000,"2000-11-08","20000068","Turnaround Jump Shot","Jump Shot",-166,26,16,"0",385,"0","0","0","SAS","1"
"111",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",-58,76,9,"0",314,"0","0","0","SAS","0"
"112",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",-37,70,7,"0",218,"0","0","0","SAS","0"
"113",2000,"2000-11-08","20000068","Jump Shot","Jump Shot",-151,150,21,"0",43,"0","0","0","SAS",NA
"114",2000,"2000-11-12","20000098","Jump Shot","Jump Shot",-94,188,21,"0",2829,"0","1","0","HOU","0"
"115",2000,"2000-11-12","20000098","Driving Layup Shot","Layup",0,0,0,"0",2777,"0","1","0","HOU","0"
"116",2000,"2000-11-12","20000098","Reverse Layup Shot","Layup",0,0,0,"0",2723,"0","1","0","HOU","0"
"117",2000,"2000-11-12","20000098","Tip Shot","Tip Shot",0,0,0,"0",2721,"0","1","0","HOU","0"
"118",2000,"2000-11-12","20000098","Slam Dunk Shot","Dunk",0,0,0,"0",2342,"0","1","0","HOU","1"
"119",2000,"2000-11-12","20000098","Driving Layup Shot","Layup",0,0,0,"0",2204,"0","1","0","HOU","1"
"120",2000,"2000-11-12","20000098","Jump Shot","Jump Shot",85,141,16,"0",2181,"0","1","0","HOU","0"
"121",2000,"2000-11-12","20000098","Jump Shot","Jump Shot",-88,158,18,"0",1970,"0","1","0","HOU","1"
"122",2000,"2000-11-12","20000098","Driving Dunk Shot","Dunk",0,0,0,"0",1938,"0","1","0","HOU","1"
"123",2000,"2000-11-12","20000098","Jump Shot","Jump Shot",-155,53,16,"0",1600,"0","1","0","HOU",NA
"124",2000,"2000-11-12","20000098","Running Hook Shot","Hook Shot",0,0,0,"0",1470,"0","1","0","HOU","1"
"125",2000,"2000-11-12","20000098","Jump Shot","Jump Shot",1,276,27,"1",1444,"0","1","0","HOU","1"
"126",2000,"2000-11-12","20000098","Running Jump Shot","Jump Shot",-96,133,16,"0",1319,"0","1","0","HOU",NA
"127",2000,"2000-11-12","20000098","Jump Shot","Jump Shot",155,-8,15,"0",1238,"0","1","0","HOU","1"
"128",2000,"2000-11-12","20000098","Jump Shot","Jump Shot",-155,13,15,"0",1038,"0","1","0","HOU","1"
"129",2000,"2000-11-12","20000098","Jump Shot","Jump Shot",-84,133,15,"0",994,"0","1","0","HOU","0"
"130",2000,"2000-11-12","20000098","Jump Shot","Jump Shot",-178,-8,17,"0",951,"0","1","0","HOU","0"
"131",2000,"2000-11-12","20000098","Jump Shot","Jump Shot",16,89,9,"0",940,"0","1","0","HOU","0"
"132",2000,"2000-11-12","20000098","Jump Shot","Jump Shot",-48,106,11,"0",933,"0","1","0","HOU","1"
"133",2000,"2000-11-12","20000098","Reverse Layup Shot","Layup",0,0,0,"0",896,"0","1","0","HOU",NA
"134",2000,"2000-11-12","20000098","Jump Shot","Jump Shot",-170,13,17,"0",845,"0","1","0","HOU","0"
"135",2000,"2000-11-12","20000098","Jump Shot","Jump Shot",-119,133,17,"0",734,"0","1","0","HOU","0"
"136",2000,"2000-11-12","20000098","Jump Shot","Jump Shot",9,40,4,"0",652,"0","1","0","HOU","0"
"137",2000,"2000-11-12","20000098","Jump Shot","Jump Shot",-84,82,11,"0",394,"0","1","0","HOU","0"
"138",2000,"2000-11-12","20000098","Jump Shot","Jump Shot",9,59,5,"0",297,"0","1","0","HOU","0"
"139",2000,"2000-11-12","20000098","Driving Dunk Shot","Dunk",0,0,0,"0",208,"0","1","0","HOU","1"
"140",2000,"2000-11-12","20000098","Running Jump Shot","Jump Shot",9,59,5,"0",98,"0","1","0","HOU","1"
"141",2000,"2000-11-12","20000098","Jump Shot","Jump Shot",45,36,5,"0",65,"0","1","0","HOU",NA
"142",2000,"2000-11-12","20000098","Tip Shot","Tip Shot",0,0,0,"0",63,"0","1","0","HOU","0"
"143",2000,"2000-11-14","20000108","Driving Layup Shot","Layup",0,0,0,"0",2623,"0","1","0","DEN","0"
"144",2000,"2000-11-14","20000108","Jump Shot","Jump Shot",237,11,23,"1",2452,"0","1","0","DEN",NA
"145",2000,"2000-11-14","20000108","Alley Oop Dunk Shot","Dunk",0,0,0,"0",2348,"0","1","0","DEN","1"
"146",2000,"2000-11-14","20000108","Jump Shot","Jump Shot",129,-4,12,"0",2305,"0","1","0","DEN","1"
"147",2000,"2000-11-14","20000108","Jump Shot","Jump Shot",-98,97,13,"0",2208,"0","1","0","DEN","1"
"148",2000,"2000-11-14","20000108","Jump Shot","Jump Shot",167,78,18,"0",2116,"0","1","0","DEN","0"
"149",2000,"2000-11-14","20000108","Jump Shot","Jump Shot",108,249,27,"1",2059,"0","1","0","DEN","0"
"150",2000,"2000-11-14","20000108","Driving Layup Shot","Layup",0,0,0,"0",2045,"0","1","0","DEN",NA
"151",2000,"2000-11-14","20000108","Running Jump Shot","Jump Shot",100,175,20,"0",1987,"0","1","0","DEN","1"
"152",2000,"2000-11-14","20000108","Jump Shot","Jump Shot",7,169,16,"0",1694,"0","1","0","DEN",NA
"153",2000,"2000-11-14","20000108","Driving Layup Shot","Layup",0,0,0,"0",1642,"0","1","0","DEN",NA
"154",2000,"2000-11-14","20000108","Layup Shot","Layup",0,0,0,"0",1554,"0","1","0","DEN","0"
"155",2000,"2000-11-14","20000108","Driving Layup Shot","Layup",0,0,0,"0",1468,"0","1","0","DEN","0"
"156",2000,"2000-11-14","20000108","Tip Shot","Tip Shot",0,0,0,"0",1466,"0","1","0","DEN",NA
"157",2000,"2000-11-14","20000108","Jump Shot","Jump Shot",115,169,20,"0",1343,"0","1","0","DEN","0"
"158",2000,"2000-11-14","20000108","Jump Shot","Jump Shot",1,72,7,"0",1043,"0","1","0","DEN","0"
"159",2000,"2000-11-14","20000108","Reverse Dunk Shot","Dunk",0,0,0,"0",953,"0","1","0","DEN",NA
"160",2000,"2000-11-14","20000108","Driving Dunk Shot","Dunk",0,0,0,"0",757,"0","1","0","DEN","1"
"161",2000,"2000-11-14","20000108","Jump Shot","Jump Shot",113,230,25,"1",703,"0","1","0","DEN","1"
"162",2000,"2000-11-14","20000108","Layup Shot","Layup",0,0,0,"0",628,"0","1","0","DEN","1"
"163",2000,"2000-11-14","20000108","Slam Dunk Shot","Dunk",0,0,0,"0",611,"0","1","0","DEN","1"
"164",2000,"2000-11-14","20000108","Layup Shot","Layup",0,0,0,"0",337,"0","1","0","DEN","0"
"165",2000,"2000-11-14","20000108","Dunk Shot","Dunk",0,0,0,"0",332,"0","1","0","DEN",NA
"166",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",98,194,21,"0",2862,"0","0","0","SAC","1"
"167",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",-117,184,21,"0",2827,"0","0","0","SAC","0"
"168",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",-168,-2,16,"0",2693,"0","0","0","SAC","0"
"169",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",70,36,7,"0",2656,"0","0","0","SAC","0"
"170",2000,"2000-11-16","20000124","Driving Layup Shot","Layup",0,0,0,"0",2623,"0","0","0","SAC","0"
"171",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",-37,42,5,"0",2327,"0","0","0","SAC","1"
"172",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",70,194,20,"0",2256,"0","0","0","SAC",NA
"173",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",163,116,20,"0",2225,"0","0","0","SAC","0"
"174",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",113,179,21,"0",1933,"0","0","0","SAC","1"
"175",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",169,-2,16,"0",1827,"0","0","0","SAC","1"
"176",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",91,156,18,"0",1492,"0","0","0","SAC","0"
"177",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",134,93,16,"0",1459,"0","0","0","SAC","0"
"178",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",47,477,47,"1",1440,"0","0","0","SAC","0"
"179",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",11,137,13,"0",1252,"0","0","0","SAC","0"
"180",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",199,13,19,"0",895,"0","0","0","SAC","0"
"181",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",77,236,24,"1",721,"0","0","0","SAC","0"
"182",2000,"2000-11-16","20000124","Alley Oop Dunk Shot","Dunk",0,0,0,"0",704,"0","0","0","SAC",NA
"183",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",11,247,24,"1",558,"0","0","0","SAC","0"
"184",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",-103,230,25,"1",343,"0","0","0","SAC","0"
"185",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",-31,247,24,"1",2,"0","0","0","SAC","1"
"186",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",-10,99,9,"0",125,"1","0","0","SAC","1"
"187",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",13,100,10,"0",127,"1","0","0","SAC","0"
"188",2000,"2000-11-16","20000124","Jump Shot","Jump Shot",-73,200,21,"0",24,"1","0","0","SAC","1"
"189",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",-77,184,19,"0",2765,"0","0","0","DEN","1"
"190",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",188,177,25,"1",2707,"0","0","0","DEN","0"
"191",2000,"2000-11-18","20000140","Driving Layup Shot","Layup",0,0,0,"0",2655,"0","0","0","DEN","0"
"192",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",174,-6,17,"0",2544,"0","0","0","DEN",NA
"193",2000,"2000-11-18","20000140","Driving Layup Shot","Layup",0,0,0,"0",2522,"0","0","0","DEN",NA
"194",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",-128,137,18,"0",2422,"0","0","0","DEN","0"
"195",2000,"2000-11-18","20000140","Alley Oop Dunk Shot","Dunk",0,0,0,"0",2409,"0","0","0","DEN","1"
"196",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",153,4,15,"0",2178,"0","0","0","DEN",NA
"197",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",1,93,9,"0",2119,"0","0","0","DEN","0"
"198",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",115,160,19,"0",1851,"0","0","0","DEN","1"
"199",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",159,200,25,"1",1811,"0","0","0","DEN","1"
"200",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",167,0,16,"0",1461,"0","0","0","DEN","0"
"201",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",-162,245,29,"1",1397,"0","0","0","DEN","0"
"202",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",-162,66,17,"0",1325,"0","0","0","DEN",NA
"203",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",167,-6,16,"0",1235,"0","0","0","DEN","0"
"204",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",-4,150,15,"0",1104,"0","0","0","DEN","1"
"205",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",-185,9,18,"0",1021,"0","0","0","DEN","1"
"206",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",237,19,23,"1",921,"0","0","0","DEN","1"
"207",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",-229,19,22,"1",767,"0","0","0","DEN","1"
"208",2000,"2000-11-18","20000140","Driving Layup Shot","Layup",0,0,0,"0",670,"0","0","0","DEN","0"
"209",2000,"2000-11-18","20000140","Reverse Dunk Shot","Dunk",0,0,0,"0",430,"0","0","0","DEN","1"
"210",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",-214,156,26,"1",319,"0","0","0","DEN",NA
"211",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",-149,137,20,"0",218,"0","0","0","DEN",NA
"212",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",37,82,8,"0",78,"0","0","0","DEN","1"
"213",2000,"2000-11-18","20000140","Jump Shot","Jump Shot",-42,87,9,"0",46,"0","0","0","DEN","0"
"214",2000,"2000-11-19","20000147","Jump Shot","Jump Shot",28,247,24,"1",2703,"0","1","0","CHI","0"
"215",2000,"2000-11-19","20000147","Jump Shot","Jump Shot",7,97,9,"0",2530,"0","1","0","CHI","0"
"216",2000,"2000-11-19","20000147","Slam Dunk Shot","Dunk",0,0,0,"0",2350,"0","1","0","CHI","1"
"217",2000,"2000-11-19","20000147","Layup Shot","Layup",0,0,0,"0",2173,"0","1","0","CHI","0"
"218",2000,"2000-11-19","20000147","Slam Dunk Shot","Dunk",0,0,0,"0",1884,"0","1","0","CHI","1"
"219",2000,"2000-11-19","20000147","Jump Shot","Jump Shot",115,135,17,"0",1803,"0","1","0","CHI","0"
"220",2000,"2000-11-19","20000147","Jump Shot","Jump Shot",142,184,23,"0",1484,"0","1","0","CHI","0"
"221",2000,"2000-11-19","20000147","Slam Dunk Shot","Dunk",0,0,0,"0",1404,"0","1","0","CHI","1"
"222",2000,"2000-11-19","20000147","Layup Shot","Layup",0,0,0,"0",1339,"0","1","0","CHI","1"
"223",2000,"2000-11-19","20000147","Jump Shot","Jump Shot",79,163,18,"0",1305,"0","1","0","CHI","0"
"224",2000,"2000-11-19","20000147","Jump Shot","Jump Shot",142,141,20,"0",1162,"0","1","0","CHI","1"
"225",2000,"2000-11-19","20000147","Jump Shot","Jump Shot",30,125,12,"0",1123,"0","1","0","CHI","0"
"226",2000,"2000-11-19","20000147","Running Jump Shot","Jump Shot",-60,97,11,"0",1015,"0","1","0","CHI","1"
"227",2000,"2000-11-19","20000147","Driving Layup Shot","Layup",0,0,0,"0",814,"0","1","0","CHI","0"
"228",2000,"2000-11-19","20000147","Driving Dunk Shot","Dunk",0,0,0,"0",724,"0","1","0","CHI",NA
"229",2000,"2000-11-19","20000147","Jump Shot","Jump Shot",115,245,27,"1",673,"0","1","0","CHI","0"
"230",2000,"2000-11-19","20000147","Jump Shot","Jump Shot",-132,184,22,"0",652,"0","1","0","CHI","0"
"231",2000,"2000-11-19","20000147","Driving Layup Shot","Layup",0,0,0,"0",612,"0","1","0","CHI","0"
"232",2000,"2000-11-19","20000147","Layup Shot","Layup",0,0,0,"0",608,"0","1","0","CHI","0"
"233",2000,"2000-11-19","20000147","Running Jump Shot","Jump Shot",-25,76,8,"0",140,"0","1","0","CHI","1"
"234",2000,"2000-11-19","20000147","Jump Shot","Jump Shot",-145,108,18,"0",97,"0","1","0","CHI","0"
"235",2000,"2000-11-19","20000147","Jump Shot","Jump Shot",-208,-29,21,"0",31,"0","1","0","CHI","0"
"236",2000,"2000-11-22","20000168","Jump Shot","Jump Shot",-105,148,18,"0",2765,"0","1","0","GSW","1"
"237",2000,"2000-11-22","20000168","Jump Shot","Jump Shot",-48,175,18,"0",2640,"0","1","0","GSW","0"
